Ibge;Município;UF;Capitais;Região;Q1;Q1. Data Início ;Q2;Q2. Data Início ;Q3;Q3. Data Início ;Q4;Q4. Data Início ;Q5;Q5 redução ;Q5. Data Início ;Q6;Q6. Data Início 
5200050;Abadia de Goiás/GO;GO;Não;Centro-oeste;Não;;Sim;15/03/2020;Não;;Sim;15/03/2020;Não;;;Sim;
3100104;Abadia dos Dourados/MG;MG;Não;Sudeste;Sim;25/05/2020;Sim;23/03/2020;Sim;23/03/2020;Sim;11/05/2020;Sim;70;23/03/2020;Não;
5200100;Abadiânia/GO;GO;Não;Centro-oeste;Sim;20/04/2020;Sim;15/03/2020;Sim;15/03/2020;Sim;10/03/2020;Sim;70;10/04/2020;Sim;15/05/2020
3100203;Abaeté/MG;MG;Não;Sudeste;Não;;Sim;16/03/2020;Sim;16/03/2020;Sim;14/05/2020;Sim;100;30/03/2020;Sim;03/05/2020
1500107;Abaetetuba/PA;PA;Não;Norte;Sim;29/03/2020;Sim;15/04/2020;Não;;Sim;10/04/2020;Não;;;Sim;05/05/2020
2300101;Abaiara/CE;CE;Não;Nordeste;;;;;;;;;;;;;
2900108;Abaíra/BA;BA;Não;Nordeste;;;;;;;;;;;;;
2900207;Abaré/BA;BA;Não;Nordeste;;;;;;;;;;;;;
4100103;Abatiá/PR;PR;Não;Sul;Sim;20/04/2020;Sim;23/03/2020;Sim;27/03/2020;Sim;14/04/2020;Não;;;Sim;30/04/2020
4200051;Abdon Batista/SC;SC;Não;Sul;Não;;Sim;23/03/2020;Sim;23/03/2020;Não;;Não;;;Não;
1500131;Abel Figueiredo/PA;PA;Não;Norte;Não;;Sim;20/03/2020;Sim;20/03/2020;Sim;06/05/2020;Não;;;Sim;15/06/2020
4200101;Abelardo Luz/SC;SC;Não;Sul;Não;;Sim;20/03/2020;Sim;20/03/2020;Sim;30/04/2020;Não;;;Não;
3100302;Abre Campo/MG;MG;Não;Sudeste;Sim;08/04/2020;Sim;20/04/2020;Não;;Sim;03/05/2020;Não;;;Sim;22/05/2020
2600054;Abreu e Lima/PE;PE;Não;Nordeste;Não;;Sim;18/03/2020;Sim;19/03/2020;Não;;Não;;;Sim;04/05/2020
1700251;Abreulândia/TO;TO;Não;Norte;Sim;09/05/2020;Sim;02/04/2020;Sim;02/04/2020;Sim;12/05/2020;Não;;;Não;
3100401;Acaiaca/MG;MG;Não;Sudeste;Sim;22/03/2020;Sim;22/03/2020;Sim;22/03/2020;Não;;Não;;;Não;
2100055;Açailândia/MA;MA;Não;Nordeste;;;;;;;;;;;;;
2900306;Acajutiba/BA;BA;Não;Nordeste;Sim;17/04/2020;Sim;17/04/2020;Sim;17/04/2020;Sim;30/04/2020;Sim;30;25/04/2020;Sim;01/05/2020
1500206;Acará/PA;PA;Não;Norte;;;;;;;;;;;;;
2300150;Acarape/CE;CE;Não;Nordeste;;;;;;;;;;;;;
2300200;Acaraú/CE;CE;Não;Nordeste;;;;;;;;;;;;;
2400109;Acari/RN;RN;Não;Nordeste;;;;;;;;;;;;;
2200053;Acauã/PI;PI;Não;Nordeste;Sim;15/05/2020;Sim;17/03/2020;Sim;25/03/2020;Sim;25/04/2020;Sim;50;27/03/2020;Sim;01/05/2020
4300034;Aceguá/RS;RS;Não;Sul;Sim;15/04/2020;Sim;20/03/2020;Não;;Sim;17/05/2020;Sim;50;;Sim;27/05/2020
2300309;Acopiara/CE;CE;Não;Nordeste;Sim;15/05/2020;Sim;10/05/2020;Sim;10/05/2020;Sim;23/04/2020;Sim;100;01/04/2020;Não;
5100102;Acorizal/MT;MT;Não;Centro-oeste;;;;;;;;;;;;;
