org_academica;idade;sexo;turno;nota;QE_I02;QE_I04;QE_I05;QE_I08;QE_I09;QE_I15;QE_I17;QE_I21
Centro Universitário;25;F;Integral;17,3;A;E;B;E;C;A;B;A
Centro Universitário;27;F;Integral;52,6;A;D;E;B;C;A;A;A
Centro Universitário;24;M;Integral;33,5;A;F;F;E;D;A;B;A
Centro Universitário;26;M;Integral;23,6;A;F;F;E;D;A;B;A
Centro Universitário;29;F;Integral;34,8;C;B;D;B;E;D;A;B
Centro Universitário;32;M;Integral;45,5;A;F;F;E;C;A;B;A
Centro Universitário;24;F;Integral;27,2;D;A;F;E;B;A;B;A
Centro Universitário;39;M;Integral;39;A;A;B;D;E;A;A;B
Centro Universitário;25;M;Integral;53,6;A;E;E;D;C;A;B;A
Centro Universitário;26;F;Integral;41,9;A;C;D;B;D;A;A;A
Centro Universitário;44;M;Integral;42,7;D;D;C;E;D;A;D;A
Centro Universitário;31;F;Integral;29,9;F;D;E;C;F;A;B;A
Centro Universitário;38;M;Integral;36,3;A;D;D;C;C;A;B;A
Centro Universitário;46;M;Integral;49;D;B;D;E;F;A;A;B
Centro Universitário;25;M;Integral;62,4;A;D;D;E;C;A;B;A
Centro Universitário;28;M;Integral;53,2;A;E;E;D;B;A;B;A
Centro Universitário;29;M;Integral;38,2;D;D;D;E;D;A;B;A
Centro Universitário;28;M;Integral;64,8;A;E;D;A;B;A;B;A
Centro Universitário;24;F;Integral;39,7;A;B;C;A;B;A;B;A
Centro Universitário;27;F;Integral;31,6;D;D;D;B;C;D;B;B
Centro Universitário;24;F;Integral;28,2;A;D;D;E;C;A;B;A
Centro Universitário;29;M;Integral;33,6;D;C;C;B;E;D;A;A
Centro Universitário;24;F;Integral;27,3;D;D;D;D;E;A;A;B
Centro Universitário;22;F;Integral;51,6;B;D;D;B;C;A;B;B
Centro Universitário;23;F;Integral;45,6;D;E;B;A;C;A;B;A
Centro Universitário;43;M;Integral;35,5;D;A;C;D;F;A;A;A
Centro Universitário;28;F;Integral;25,6;D;E;D;A;B;A;E;A
Centro Universitário;29;M;Integral;64,5;B;D;F;F;F;D;A;A
Centro Universitário;22;F;Integral;57,3;D;D;E;B;C;A;B;A
