ano;id;tipo;nota;TDI_EM;TDI_01;TDI_02;TDI_03;MHA_EM;MHA_01;MHA_02;MHA_03
2018;26000024;EREM;497,0826923;30,3;32,2;32,6;15,6;9;8,6;9,5;9,5
2018;26000741;EREM;486,5848039;25,5;27,8;22,1;14,8;6,1;9,5;9,5;4,2
2018;26001900;Regular;486,3111607;20,1;28,2;16,2;10,3;4,4;4,5;4,5;4,4
2018;26001942;EREM;526,72625;8;10,4;6,8;6;7,6;9,5;9,5;9,5
2018;26003066;EREM;494,125;10;12,6;8,3;9,5;9,5;9,5;9,5;9,5
2018;26003210;Regular;466,1419492;35,9;45,3;33,9;29,3;4,2;4,3;4,2;4,3
2018;26004518;EREM;508,2010417;13,2;15,6;15,9;6,5;9,5;9,5;9,5;9,5
2018;26004593;Regular;473,9593137;29,1;35,6;25,1;29,2;4,1;4,5;4,3;3,8
2018;26005107;EREM;495,54375;24,8;27,7;25,7;16,7;9,5;10;10;10
2018;26005115;EREM;511,9890625;6,3;13,8;0;8;9,5;9,5;9,5;9,5
2018;26006138;Regular;492,4889241;29,9;23,8;35,1;30,9;3,8;4;4;3,9
2018;26006499;Regular;477,48125;39,8;41;41,8;37,1;4;4;4;3,9
2018;26008181;EREM;502,8460227;23,5;17,8;43,3;17,3;8,9;9,5;9,5;9,5
2018;26008530;EREM;510,5545732;13,2;17,4;9,8;12,5;9,5;9,5;9,5;9,5
2018;26009315;EREM;479,2347222;17;18,3;17;14,7;9,5;9,5;9,5;9,5
2018;26009390;EREM;498,615625;13,3;18;15,8;6,7;8,9;10;10;10
2018;26010151;EREM;487,5608209;5,4;10,2;2;2,5;8,9;9,5;9,5;9,6
2018;26010348;Regular;476,4138158;26,7;49,1;26,9;20,9;4,2;3,5;4,3;4,3
2018;26011069;EREM;538,7240234;2,4;1,6;2,9;2,7;9,2;9,5;9,5;9,5
2018;26011344;EREM;491,8975;13;14,3;15,2;8,4;9,5;9,5;9,5;9,5
2018;26011611;EREM;484,5970588;28,3;25,3;31,3;31,4;7,2;9,5;9,5;4,5
