ano;id;tipo;localizacao;ICG;INSE;nota;TDI_EM;TDI_01;TDI_02;TDI_03;MHA_EM;MHA_01;MHA_02;MHA_03;REP_EM
2019;26000024;EREM;Urbana;Nível 4;4,03;473,3982955;21,6;14,4;27,7;25;9,5;9,5;9,5;9,5;0,7
2019;26001942;EREM;Urbana;Nível 3;4,54;512,5140351;8,9;10,3;10,6;5,5;8,5;9,5;9,5;9,5;5
2019;26003066;EREM;Urbana;Nível 2;4,14;478,4152941;8,6;8,6;11,2;6,3;9,5;9,5;9,5;9,5;5,5
2019;26004518;EREM;Urbana;Nível 2;4,31;502,4788462;12,4;13,3;12,5;10;9,5;9,5;9,5;9,5;4,4
2019;26005107;EREM;Urbana;Nível 4;4,03;463,2263889;22,4;26;19,7;20;10;10;10;10;1,2
2019;26005115;EREM;Urbana;Nível 2;4,49;499,7269886;8,3;15,1;11,5;0;9,5;9,5;9,5;9,5;0
2019;26008530;EREM;Urbana;Nível 2;4,34;486,1641304;10,4;10,5;13,9;7;10;10;10;10;0,7
2019;26009315;EREM;Urbana;Nível 4;3,83;463,3777344;14,9;15;15,2;14,4;9;9,5;8;9,5;0,7
2019;26009390;EREM;Urbana;Nível 4;3,98;470,77;20,4;30,9;12,2;14;8,9;9,5;9,5;9,5;6,1
2019;26010151;EREM;Urbana;Nível 3;4,33;481,3903226;9,8;13,6;10,1;3,3;8,5;9,5;9,5;9,6;2,3
2019;26011069;EREM;Urbana;Nível 3;4,84;519,0948276;3;3,8;1,7;3,1;9,3;9,5;9,5;9,5;0,8
2019;26011344;EREM;Urbana;Nível 2;4,25;470,837234;14,9;16,7;14,5;13,5;9,5;9,5;9,5;9,5;1,2
2019;26011611;EREM;Urbana;Nível 4;4,16;473,7961207;24,6;31,8;16,2;24,1;8,3;9,5;9,5;9,5;3,4
2019;26012359;EREM;Urbana;Nível 2;4,37;481,5939732;16,2;19,1;17,3;11,4;9,5;9,5;9,5;9,5;1,4
2019;26013452;EREM;Urbana;Nível 4;3,66;453,0396875;23,6;27,3;25,6;18,9;7,5;8,7;8,2;8;0,3
2019;26014564;EREM;Urbana;Nível 5;4,03;474,675;22,8;28;15;21,8;9,5;9,5;9,5;9,5;3,6
2019;26014670;EREM;Urbana;Nível 2;4,84;489,3472973;7;9,7;4,1;6,3;9,5;9,5;9,5;9,5;3,3
2019;26015315;EREM;Urbana;Nível 4;4,05;489,3891667;16,8;17,7;15;17,1;9;9,5;9,5;9,5;9,9
2019;26016028;EREM;Urbana;Nível 2;4,5;524,2488462;4,4;6,5;3;2,8;9,5;9,5;9,5;9,5;0,9
2019;26016540;EREM;Urbana;Nível 4;4,13;483,575641;15,8;19,6;9,1;16,3;9,5;9,5;9,5;9,5;2,3
2019;26018314;EREM;Urbana;Nível 4;4,22;487,248913;17,5;19;25,9;8,2;9,5;9,5;9,5;9,5;2,9
2019;26019493;EREM;Urbana;Nível 4;4,22;480,1675676;13,8;10;17,9;16,9;9,4;9,5;9,3;9,2;2,5
2019;26019825;EREM;Urbana;Nível 4;3,94;462,1229167;33,1;35,8;23,7;41;8,8;8,2;9,5;9,5;2,5
2019;26019922;EREM;Urbana;Nível 2;4,56;517,810177;5,4;4,3;7,9;4,1;9,5;9,5;9,5;9,5;1
2019;26020971;EREM;Urbana;Nível 5;4,82;491,0665094;18,2;22;22,5;7,4;8,6;7,9;9;9,2;1,4
2019;26021900;EREM;Urbana;Nível 5;4,08;452,7351563;31,7;33,3;33,3;29,8;6,9;9,2;9,2;4,3;11,8
2019;26021927;EREM;Urbana;Nível 5;4,52;472,6347561;19,9;22,1;24,1;11,3;9,5;9,5;9,5;9,5;2,8
2019;26024551;EREM;Urbana;Nível 2;4,6;496,7153846;11,2;8,6;14,5;10,9;9,5;9,5;9,5;9,5;3
2019;26024675;EREM;Urbana;Nível 2;4,56;482,1365672;20,8;24,8;17,6;19,1;9,5;9,5;9,5;9,5;2,6
2019;26024730;EREM;Urbana;Nível 4;4,4;459,6203125;30,3;26,8;28;39,6;9,5;9,5;9,5;9,5;1,1
2019;26025876;EREM;Urbana;Nível 3;3,94;458,44375;31,7;35,2;29,5;28,4;8,3;9,5;9,5;9,5;7,2
2019;26026627;EREM;Urbana;Nível 2;4,23;480,6742958;8,4;8,6;11,5;5,7;9,5;9,5;9,5;9,5;3,4
2019;26027828;EREM;Urbana;Nível 3;4,17;463,5428571;10,7;12,5;13,2;6,5;8,2;9,5;9,5;9,5;1,3
2019;26027917;EREM;Urbana;Nível 3;4,09;463,9675532;32,9;33,6;38;26,5;9,1;9,5;9,5;9,5;3,5
2019;26029243;EREM;Urbana;Nível 3;3,54;453,0557143;34,3;37,5;32,9;31,8;7,3;7,8;7,2;7,3;2
2019;26029910;EREM;Urbana;Nível 2;4,49;490,0471774;16,5;20,2;15,5;13,4;9,5;9,5;9,5;9,5;3,9
2019;26031272;EREM;Urbana;Nível 4;4,56;477,7223558;6,5;5,7;6,3;8,3;9,5;9,4;9,5;9,5;1,8
2019;26033356;EREM;Urbana;Nível 4;4,12;502,1777397;9,2;11,3;11,2;3,9;9,5;9,5;9,5;9,5;2,8
2019;26033879;EREM;Urbana;Nível 2;4,99;497,172695;8,2;9,3;10,2;4,3;9,5;9,5;9,5;9,5;4,9
2019;26034336;EREM;Urbana;Nível 2;4,59;494,5841667;18,8;30,8;12,2;7,5;9,5;9,5;9,5;9,5;3,5
2019;26034352;EREM;Urbana;Nível 2;4,68;487,645;10,8;14,1;12,6;4,8;9,5;9,5;9,5;9,5;3,6
2019;26035049;EREM;Urbana;Nível 2;4,63;479,3688596;18,6;18,6;35,4;8,6;9,5;9,5;9,5;9,5;4,3
2019;26035120;EREM;Urbana;Nível 2;4,92;490,5479323;8,8;11,3;6,8;8;9,5;9,5;9,5;9,5;1,8
2019;26035316;EREM;Urbana;Nível 4;4,84;488,8796667;4,1;5,4;5,6;1;9,5;9,5;9,5;9,5;4,2
2019;26035600;EREM;Urbana;Nível 2;4,72;494,4571429;19,1;19,7;14,4;25;9,5;9,5;9,5;9,5;3,5
2019;26036118;EREM;Urbana;Nível 4;4,27;472,8044521;24,8;28,7;40,6;7,8;9,5;9,5;9,5;9,5;2,4
2019;26038536;EREM;Urbana;Nível 3;3,79;475,1823529;11,8;11,7;15,8;7,2;8,7;9,5;9,5;9,5;3,2
