"","tipo","localizacao","ICG","INSE","TDI_EM","MHA_EM","REP_EM"
"1","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"2","EREM","Urbana","N3","[4.26,4.55)","[0,13.3)","[5.4,9.5)","[5,33.2]"
"3","EREM","Urbana","N2","[3.54,4.26)","[0,13.3)","[9.5,10.5]","[5,33.2]"
"4","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[2.7,5)"
"5","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"6","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"7","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"8","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"9","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"10","EREM","Urbana","N3","[4.26,4.55)","[0,13.3)","[5.4,9.5)","[0,2.7)"
"11","EREM","Urbana","N3","[4.55,6.35]","[0,13.3)","[5.4,9.5)","[0,2.7)"
"12","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"13","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"14","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"15","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"16","EREM","Urbana","N5","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"17","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"18","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"19","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"20","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"21","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
