rd;municipio;dist;pop; pib ; vab ;maior_vab;lat;lon
AGRESTE CENTRAL;AGRESTINA;152;25065;254433749;83058312; Administração, defesa, educação e saúde públicas e seguridade social ;-8,46264;-35,9452
AGRESTE CENTRAL;ALAGOINHA;227;14718;132909511;34766391; Administração, defesa, educação e saúde públicas e seguridade social ;-8,45825;-36,7823
AGRESTE CENTRAL;ALTINHO;163;22984;171957774;47936240; Administração, defesa, educação e saúde públicas e seguridade social ;-8,48598;-36,0637
AGRESTE CENTRAL;BARRA DE GUABIRABA;125;14510;129193317;25321515; Administração, defesa, educação e saúde públicas e seguridade social ;-8,47818;-35,6502
AGRESTE CENTRAL;BELO JARDIM;184;76687;1883328580;511398132; Indústrias de transformação ;-8,33579;-36,4245
AGRESTE CENTRAL;BEZERROS;106;60880;722013305;280700841; Administração, defesa, educação e saúde públicas e seguridade social ;-8,24262;-35,7852
AGRESTE CENTRAL;BONITO;101;38117;390554516;122000571; Administração, defesa, educação e saúde públicas e seguridade social ;-8,47038;-35,7265
AGRESTE CENTRAL;BREJO DA MADRE DE DEUS;201;51225;375217289;113571160; Administração, defesa, educação e saúde públicas e seguridade social ;-8,14254;-36,3729
AGRESTE CENTRAL;CACHOEIRINHA;172;20501;218008123;82401310; Administração, defesa, educação e saúde públicas e seguridade social ;-8,48635;-36,2334
AGRESTE CENTRAL;CAMOCIM DE SÃO FÉLIX;121;18900;153617568;55543895; Administração, defesa, educação e saúde públicas e seguridade social ;-8,35932;-35,7639
AGRESTE CENTRAL;CARUARU;137;365278;7147526418;3839255608; Demais serviços ;-8,28139;-35,9735
AGRESTE CENTRAL;CUPIRA;170;24173;263969197;102358182; Administração, defesa, educação e saúde públicas e seguridade social ;-8,62396;-35,9509
AGRESTE CENTRAL;GRAVATÁ;84,5;84699;1124665213;536409265; Demais serviços ;-8,2096;-35,5695
AGRESTE CENTRAL;IBIRAJUBA;182;7768;60766251;11526920; Administração, defesa, educação e saúde públicas e seguridade social ;-8,58229;-36,1789
AGRESTE CENTRAL;JATAÚBA;227;17228;124670220;34331916; Administração, defesa, educação e saúde públicas e seguridade social ;-7,99088;-36,4974
AGRESTE CENTRAL;LAGOA DOS GATOS;180;16318;140251656;24271695; Administração, defesa, educação e saúde públicas e seguridade social ;-8,65873;-35,8999
AGRESTE CENTRAL;PANELAS;181;26456;190163512;47294417; Administração, defesa, educação e saúde públicas e seguridade social ;-8,66341;-36,0231
AGRESTE CENTRAL;PESQUEIRA;213;67735;688562864;265147648; Administração, defesa, educação e saúde públicas e seguridade social ;-8,35966;-36,6949
AGRESTE CENTRAL;POÇÃO;239;11305;83988256;21387963; Administração, defesa, educação e saúde públicas e seguridade social ;-8,18861;-36,7085
AGRESTE CENTRAL;RIACHO DAS ALMAS;135;20646;181657839;50796743; Administração, defesa, educação e saúde públicas e seguridade social ;-8,13487;-35,862
AGRESTE CENTRAL;SAIRÉ;117;9764;125396696;39555913; Administração, defesa, educação e saúde públicas e seguridade social ;-8,32839;-35,6896
AGRESTE CENTRAL;SANHARÓ;198;26890;199171392;58978805; Administração, defesa, educação e saúde públicas e seguridade social ;-8,35985;-36,5665
AGRESTE CENTRAL;SÃO BENTO DO UNA;205;60042;1085366267;160053769; Pecuária, inclusive apoio à pecuária ;-8,52235;-36,4435
AGRESTE CENTRAL;SÃO CAITANO;151;37368;357395655;115241328; Administração, defesa, educação e saúde públicas e seguridade social ;-8,33;-36,1459
AGRESTE CENTRAL;SÃO JOAQUIM DO MONTE;131;21398;160376964;44238346; Administração, defesa, educação e saúde públicas e seguridade social ;-8,42997;-35,8076
AGRESTE CENTRAL;TACAIMBÓ;168;12859;162555722;32587156; Administração, defesa, educação e saúde públicas e seguridade social ;-8,33583;-36,2905
AGRESTE MERIDIONAL;ÁGUAS BELAS;312;43686;351616262;108123034; Administração, defesa, educação e saúde públicas e seguridade social ;-9,1102;-37,1248
AGRESTE MERIDIONAL;ANGELIM;216;11226;118494207;19820377; Administração, defesa, educação e saúde públicas e seguridade social ;-8,89045;-36,2891
AGRESTE MERIDIONAL;BOM CONSELHO;275;48767;503785177;151358767; Administração, defesa, educação e saúde públicas e seguridade social ;-9,16421;-36,6833
AGRESTE MERIDIONAL;BREJÃO;251;8987;144883318;20411079; Pecuária, inclusive apoio à pecuária ;-9,02877;-36,574
AGRESTE MERIDIONAL;BUÍQUE;280;58919;406916743;98875695; Administração, defesa, educação e saúde públicas e seguridade social ;-8,61423;-37,1608
AGRESTE MERIDIONAL;CAETÉS;249;28904;486379337;45771274; Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação ;-8,7724;-36,6226
AGRESTE MERIDIONAL;CALÇADOS;204;11018;93547528;17670743; Administração, defesa, educação e saúde públicas e seguridade social ;-8,73776;-36,342
AGRESTE MERIDIONAL;CANHOTINHO;206;24773;189273452;49718818; Administração, defesa, educação e saúde públicas e seguridade social ;-8,87723;-36,197
AGRESTE MERIDIONAL;CAPOEIRAS;238;20048;212792409;49067769; Administração, defesa, educação e saúde públicas e seguridade social ;-8,73516;-36,6271
AGRESTE MERIDIONAL;CORRENTES;257;18268;149792966;33220844; Administração, defesa, educação e saúde públicas e seguridade social ;-9,12767;-36,3243
AGRESTE MERIDIONAL;GARANHUNS;230;140577;2441308810;1150729004; Demais serviços ;-8,89074;-36,4966
AGRESTE MERIDIONAL;IATI;282;19241;161992547;33057414; Administração, defesa, educação e saúde públicas e seguridade social ;-9,04529;-36,8449
AGRESTE MERIDIONAL;ITAÍBA;332;26308;215492010;54149398; Administração, defesa, educação e saúde públicas e seguridade social ;-8,9484;-37,4269
AGRESTE MERIDIONAL;JUCATI;214;11485;100427145;16824806; Administração, defesa, educação e saúde públicas e seguridade social ;-8,70673;-36,4633
AGRESTE MERIDIONAL;JUPI;208;14922;155507454;38530077; Administração, defesa, educação e saúde públicas e seguridade social ;-8,7064;-36,4174
AGRESTE MERIDIONAL;JUREMA;200;15431;104187918;24566718; Administração, defesa, educação e saúde públicas e seguridade social ;-8,68333;-37,2333
AGRESTE MERIDIONAL;LAGOA DO OURO;260;13224;115729415;20584297; Administração, defesa, educação e saúde públicas e seguridade social ;-9,12448;-36,4597
AGRESTE MERIDIONAL;LAJEDO;193;40589;446585824;180915672; Administração, defesa, educação e saúde públicas e seguridade social ;-8,66895;-36,3234
AGRESTE MERIDIONAL;PALMEIRINA;233;7600;68717743;13036578; Administração, defesa, educação e saúde públicas e seguridade social ;-9,00305;-36,3233
AGRESTE MERIDIONAL;PARANATAMA;250;11566;285573355;23576734; Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação ;-8,89757;-36,6652
AGRESTE MERIDIONAL;PEDRA;257;22668;249066260;50028850; Administração, defesa, educação e saúde públicas e seguridade social ;-8,49726;-36,9412
AGRESTE MERIDIONAL;SALOÁ;261;15862;127168967;29929054; Administração, defesa, educação e saúde públicas e seguridade social ;-8,95144;-36,7229
AGRESTE MERIDIONAL;SÃO JOÃO;225;22899;224877587;59847940; Administração, defesa, educação e saúde públicas e seguridade social ;-8,87293;-36,3631
AGRESTE MERIDIONAL;TEREZINHA;258;7198;61724884;11402315; Administração, defesa, educação e saúde públicas e seguridade social ;-9,05157;-36,6259
AGRESTE MERIDIONAL;TUPANATINGA;307;27551;186189564;38782722; Administração, defesa, educação e saúde públicas e seguridade social ;-8,75339;-37,3408
AGRESTE MERIDIONAL;VENTUROSA;245;18661;215607654;46973235; Administração, defesa, educação e saúde públicas e seguridade social ;-8,57595;-36,875
AGRESTE SETENTRIONAL;BOM JARDIM;101;39983;327251686;87849926; Administração, defesa, educação e saúde públicas e seguridade social ;-7,80016;-35,5918
AGRESTE SETENTRIONAL;CASINHAS;129;14368;94875081;17748496; Administração, defesa, educação e saúde públicas e seguridade social ;-7,7459;-35,7049
AGRESTE SETENTRIONAL;CUMARU;123;10192;96887075;27366162; Administração, defesa, educação e saúde públicas e seguridade social ;-8,00091;-35,702
AGRESTE SETENTRIONAL;FEIRA NOVA;77;22247;191063979;54779483; Administração, defesa, educação e saúde públicas e seguridade social ;-7,92758;-35,377
AGRESTE SETENTRIONAL;FREI MIGUELINHO;148;15546;115759710;31643252; Administração, defesa, educação e saúde públicas e seguridade social ;-7,94165;-35,9088
AGRESTE SETENTRIONAL;JOÃO ALFREDO;107;33328;292056193;81129271; Administração, defesa, educação e saúde públicas e seguridade social ;-7,85818;-35,5902
AGRESTE SETENTRIONAL;LIMOEIRO;86,6;56198;776093813;375196597; Demais serviços ;-7,87232;-35,4398
AGRESTE SETENTRIONAL;MACHADOS;108;16321;212096218;43289477; Agricultura, inclusive apoio à agricultura e a pós colheita ;-7,68299;-35,5092
AGRESTE SETENTRIONAL;OROBÓ;108;23935;321655345;60375043; Pecuária, inclusive apoio à pecuária ;-7,74993;-35,6052
AGRESTE SETENTRIONAL;PASSIRA;106;28894;224562554;68384013; Administração, defesa, educação e saúde públicas e seguridade social ;-7,9453;-35,5856
AGRESTE SETENTRIONAL;SALGADINHO;116;11068;67495839;12383244; Administração, defesa, educação e saúde públicas e seguridade social ;-7,92418;-35,63917
AGRESTE SETENTRIONAL;SANTA CRUZ DO CAPIBARIBE;191;109897;1511867664;661367763; Demais serviços ;-7,94217;-36,2317
AGRESTE SETENTRIONAL;SANTA MARIA DO CAMBUCÁ;138;14223;102556274;29041006; Administração, defesa, educação e saúde públicas e seguridade social ;-7,86249;-35,8983
AGRESTE SETENTRIONAL;SÃO VICENTE FERRER;28,5;18085;213004395;49423963; Administração, defesa, educação e saúde públicas e seguridade social ;-7,5906;-35,4916
AGRESTE SETENTRIONAL;SURUBIM;135;65647;753840601;356037259; Administração, defesa, educação e saúde públicas e seguridade social ;-7,84995;-35,7549
AGRESTE SETENTRIONAL;TAQUARITINGA DO NORTE;195;29127;280500896;88584368; Administração, defesa, educação e saúde públicas e seguridade social ;-7,88809;-36,0924
AGRESTE SETENTRIONAL;TORITAMA;171;46164;654978750;272313410; Administração, defesa, educação e saúde públicas e seguridade social ;-7,99898;-36,0522
AGRESTE SETENTRIONAL;VERTENTE DO LÉRIO;501;7571;60019483;13488858; Administração, defesa, educação e saúde públicas e seguridade social ;-7,77139;-35,8503
