indicador;descricao;ano
rd;região de desenvolvimento socioeconômico do estado de Pernambuco;2021
municipio;nome do município localizado no estado de Pernambuco;2021
dist;distância do município para Recife;2021
pop;população residente estimada pelo IBGE;2020
pib ;produto interno bruto estimado pelo IBGE;2018
vab ;valor agregado bruto de serviços estimado pelo IBGE;2018
maior_vab;setor responsável pelo vab;2018
lat;coordenada geográfica de latitude do município;2021
lon;coordenada geográfica de longitude do município;2021
icms;valor de icms transferido pelo estado de Pernambuco ao município;2020
ipi;valor de ipi transferido pelo estado de Pernambuco ao município;2020
ipva;valor de ipva transferido pelo estado de Pernambuco ao município;2020
salario_medio;salário médio, em salários mínimos, da população ocupada;2019
pop_ocu_per;percentual de população ocupada;2019
codigo;código do município no IBGE;2021
