municipio;nome_escola;zona;ano_implantacao;lat;lon
Recife;ETE PROFESSOR AGAMENON MAGALHAES ETEPAM;Urbana;1928;-8,0390784;-34,8932106
Recife;ETE PROFESSOR AGAMENON MAGALHAES ETEPAM;Urbana;1959;-8,0390784;-34,8932106
Escada;ETE LUIZ DIAS LINS;Urbana;1959;-8,3627771;-35,2148952
Escada;ETE LUIZ DIAS LINS;Urbana;1970;-8,3627771;-35,2148952
Recife;ETE PROFESSOR AGAMENON MAGALHAES ETEPAM;Urbana;1970;-8,0390784;-34,8932106
Recife;ETE ALMIRANTE SOARES DUTRA;Urbana;1970;-8,047488;-34,875656
Recife;ETE PROFESSOR AGAMENON MAGALHAES ETEPAM;Urbana;1989;-8,0390784;-34,8932106
Escada;ETE LUIZ DIAS LINS;Urbana;1989;-8,3627771;-35,2148952
Recife;ETE ALMIRANTE SOARES DUTRA;Urbana;1989;-8,047488;-34,875656
Serra Talhada;ETE CLOVIS NOGUEIRA ALVES;Urbana;1989;-7,9944519;-38,2972079
Palmares;ETE DE PALMARES;Urbana;1998;-8,6816538;-35,577621
Recife;ETE PROFESSOR AGAMENON MAGALHAES ETEPAM;Urbana;1998;-8,0390784;-34,8932106
Escada;ETE LUIZ DIAS LINS;Urbana;1998;-8,3627771;-35,2148952
Recife;ETE ALMIRANTE SOARES DUTRA;Urbana;1998;-8,047488;-34,875656
Serra Talhada;ETE CLOVIS NOGUEIRA ALVES;Urbana;1998;-7,9944519;-38,2972079
Recife;EREM GINASIO PERNAMBUCANO AURORA;Urbana;2004;-8,0580795;-34,8792046
Palmares;ETE DE PALMARES;Urbana;2004;-8,6816538;-35,577621
Recife;ETE PROFESSOR AGAMENON MAGALHAES ETEPAM;Urbana;2004;-8,0390784;-34,8932106
Escada;ETE LUIZ DIAS LINS;Urbana;2004;-8,3627771;-35,2148952
Recife;ETE ALMIRANTE SOARES DUTRA;Urbana;2004;-8,047488;-34,875656
Serra Talhada;ETE CLOVIS NOGUEIRA ALVES;Urbana;2004;-7,9944519;-38,2972079
Bezerros;EREM DE BEZERROS;Urbana;2005;-8,2324787;-35,7301093
Recife;EREM GINASIO PERNAMBUCANO AURORA;Urbana;2005;-8,0580795;-34,8792046
Palmares;ETE DE PALMARES;Urbana;2005;-8,6816538;-35,577621
Recife;ETE PROFESSOR AGAMENON MAGALHAES ETEPAM;Urbana;2005;-8,0390784;-34,8932106
Escada;ETE LUIZ DIAS LINS;Urbana;2005;-8,3627771;-35,2148952
Recife;ETE ALMIRANTE SOARES DUTRA;Urbana;2005;-8,047488;-34,875656
Serra Talhada;ETE CLOVIS NOGUEIRA ALVES;Urbana;2005;-7,9944519;-38,2972079
Cabo de Santo Agostinho;EREM CABO DE SANTO AGOSTINHO;Urbana;2006;-8,2408349;-34,9778639
Petrolina;EREM CLEMENTINO COELHO;Urbana;2006;-9,386151;-40,5150289
Arcoverde;EREM DE ARCOVERDE;Urbana;2006;-8,4170843;-37,0382817
Garanhuns;EREM DE GARANHUNS;Urbana;2006;-8,8883454;-36,4854376
Ipojuca;EREM DE IPOJUCA;Urbana;2006;-8,3969327;-35,0600657
Panelas;EREM DE PANELAS;Rural;2006;-8,6616308;-36,0128641
Timbaúba;EREM DE TIMBAUBA PROFESSOR ANTONIO JOSE BARBOZA DOS SANTOS;Urbana;2006;-7,5153957;-35,3102036
Palmares;EREM DOS PALMARES DOM ACACIO RODRIGUES ALVES;Urbana;2006;-8,684554;-35,5894112
Abreu e Lima;EREM MARIA VIEIRA MULITERNO;Urbana;2006;-7,9083842;-34,8973828
Serra Talhada;EREM PROFESSOR ADAUTO CARVALHO;Urbana;2006;-7,9820441;-38,2904945
Recife;ETE CICERO DIAS;Urbana;2006;-8,1288634;-34,9072712
Bezerros;EREM DE BEZERROS;Urbana;2006;-8,2324787;-35,7301093
Recife;EREM GINASIO PERNAMBUCANO AURORA;Urbana;2006;-8,0580795;-34,8792046
Palmares;ETE DE PALMARES;Urbana;2006;-8,6816538;-35,577621
Recife;ETE PROFESSOR AGAMENON MAGALHAES ETEPAM;Urbana;2006;-8,0390784;-34,8932106
Escada;ETE LUIZ DIAS LINS;Urbana;2006;-8,3627771;-35,2148952
Recife;ETE ALMIRANTE SOARES DUTRA;Urbana;2006;-8,047488;-34,875656
Serra Talhada;ETE CLOVIS NOGUEIRA ALVES;Urbana;2006;-7,9944519;-38,2972079
Belo Jardim;EREM DE BELO JARDIM;Rural;2007;-8,3266193;-36,4194752
Gravatá;EREM DE GRAVATA;Urbana;2007;-8,20463;-35,5802
Salgueiro;EREM DE SALGUEIRO;Urbana;2007;-8,0705017;-39,1270971
Araripina;EREM JOSIAS INOJOSA DE OLIVEIRA;Urbana;2007;-7,5822743;-40,4998739
Recife;EREM NOBREGA;Urbana;2007;-8,0358188;-34,8890332
Santa Maria da Boa Vista;EREM PROFESSORA EDITE MATOS;Urbana;2007;-8,788248;-39,8306828
Recife;ETE PORTO DIGITAL;Urbana;2007;-8,062681;-34,873323
Cabo de Santo Agostinho;EREM CABO DE SANTO AGOSTINHO;Urbana;2007;-8,2408349;-34,9778639
Petrolina;EREM CLEMENTINO COELHO;Urbana;2007;-9,386151;-40,5150289
Arcoverde;EREM DE ARCOVERDE;Urbana;2007;-8,4170843;-37,0382817
Garanhuns;EREM DE GARANHUNS;Urbana;2007;-8,8883454;-36,4854376
Ipojuca;EREM DE IPOJUCA;Urbana;2007;-8,3969327;-35,0600657
Panelas;EREM DE PANELAS;Rural;2007;-8,6616308;-36,0128641
Timbaúba;EREM DE TIMBAUBA PROFESSOR ANTONIO JOSE BARBOZA DOS SANTOS;Urbana;2007;-7,5153957;-35,3102036
Palmares;EREM DOS PALMARES DOM ACACIO RODRIGUES ALVES;Urbana;2007;-8,684554;-35,5894112
Abreu e Lima;EREM MARIA VIEIRA MULITERNO;Urbana;2007;-7,9083842;-34,8973828
Serra Talhada;EREM PROFESSOR ADAUTO CARVALHO;Urbana;2007;-7,9820441;-38,2904945
Recife;ETE CICERO DIAS;Urbana;2007;-8,1288634;-34,9072712
Bezerros;EREM DE BEZERROS;Urbana;2007;-8,2324787;-35,7301093
Recife;EREM GINASIO PERNAMBUCANO AURORA;Urbana;2007;-8,0580795;-34,8792046
Palmares;ETE DE PALMARES;Urbana;2007;-8,6816538;-35,577621
Recife;ETE PROFESSOR AGAMENON MAGALHAES ETEPAM;Urbana;2007;-8,0390784;-34,8932106
Escada;ETE LUIZ DIAS LINS;Urbana;2007;-8,3627771;-35,2148952
Recife;ETE ALMIRANTE SOARES DUTRA;Urbana;2007;-8,047488;-34,875656
Serra Talhada;ETE CLOVIS NOGUEIRA ALVES;Urbana;2007;-7,9944519;-38,2972079
Caruaru;EREM ARNALDO ASSUNCAO;Urbana;2008;-8,2796501;-35,9596703
Goiana;EREM AUGUSTO GONDIM;Urbana;2008;-7,5608332;-35,0126937
Salgueiro;EREM AURA SAMPAIO PARENTE MUNIZ;Urbana;2008;-8,0705017;-39,1270971
Limoeiro;EREM AUSTRO COSTA;Urbana;2008;-7,860585;-35,443822
Floresta;EREM CAPITAO NESTOR VALGUEIRO DE CARVALHO;Urbana;2008;-8,5973248;-38,5741387
Recife;EREM DE BEBERIBE;Urbana;2008;-8,0044808;-34,8993506
Lajedo;EREM DEOLINDA AMARAL;Urbana;2008;-8,6623523;-36,3210154
Olinda;EREM DESEMBARGADOR RENATO FONSECA;Urbana;2008;-8,0069959;-34,865598
Caruaru;EREM DOM MIGUEL DE LIMA VALVERDE;Urbana;2008;-8,2946992;-35,9690543
Recife;EREM DOM SEBASTIAO LEME;Urbana;2008;-8,1144956;-34,9492561
Nazaré da Mata;EREM DON VIEIRA;Urbana;2008;-7,7419043;-35,2196142
Sirinhaém;EREM DOUTOR EURICO CHAVES;Urbana;2008;-8,5940473;-35,1124187
Limoeiro;EREM DOUTOR SEBASTIAO DE VASCONCELOS GALVAO;Urbana;2008;-7,883513;-35,45074
Vertentes;EREM GIL RODRIGUES;Urbana;2008;-7,9034205;-35,985098
Sairé;EREM JOAO PESSOA SOUTO MAIOR;Urbana;2008;-8,327435;-35,7097144
Carnaíba;EREM JOAQUIM MENDES DA SILVA;Urbana;2008;-7,7938327;-37,7949242
Carpina;EREM JOAQUIM OLAVO;Urbana;2008;-7,8442616;-35,2510178
Cabrobó;EREM JOSE CALDAS CAVALCANTI;Urbana;2008;-8,512667;-39,3084534
São Bento do Una;EREM JOSE DO PATROCINIO MOTA;Urbana;2008;-8,5236305;-36,4431998
Palmares;EREM MONSENHOR ABILIO AMERICO GALVAO;Urbana;2008;-8,684554;-35,5894112
Surubim;EREM NATALICIA MARIA FIGUEIROA DA SILVA;Urbana;2008;-7,8581278;-35,7667991
Recife;EREM OTHON PARAISO;Urbana;2008;-8,0661779;-34,917159
São José da Coroa Grande;EREM PROFESSOR CARLOS JOSE DIAS DA SILVA;Urbana;2008;-8,8897973;-35,1517785
Recife;EREM PROFESSOR MARDONIO DE ANDRADE LIMA COELHO;Urbana;2008;-8,0208161;-34,903784
Petrolina;EREM PROFESSORA OSA SANTANA DE CARVALHO;Urbana;2008;-9,3807047;-40,5349762
Recife;EREM SENADOR PAULO PESSOA GUERRA;Urbana;2008;-8,0924725;-34,9500551
Arcoverde;EREM SENADOR VITORINO FREIRE;Urbana;2008;-8,4119613;-37,0692726
Recife;EREM SILVA JARDIM;Urbana;2008;-8,0280539;-34,9284831
Camaragibe;EREM TITO PEREIRA DE OLIVEIRA;Rural;2008;-7,9667406;-34,9947027
Rio Formoso;EREM WILSON DE ANDRADE BARRETO;Urbana;2008;-8,6653533;-35,1562017
Cabo de Santo Agostinho;ETE EPITACIO PESSOA;Urbana;2008;-8,280784;-35,0307065
Belo Jardim;EREM DE BELO JARDIM;Rural;2008;-8,3266193;-36,4194752
