cod_escola;tp_escola;tp_localizacao;idepe;p_em;nota_lp;nota_mt;nota_saep;in_internet;in_noturno;in_eja;qt_mat_bas;tx_mat_med_int;tx_mat_bas_fem;tx_mat_bas_branca;inse;mha_em;tdi_em
26178435;INTEGRAL;Urbana;5,8;0,99;5,72;5,98;5,85;1;0;0;623;1;0,516853933;0,154093098;4,63;9,5;12,2
26014670;INTEGRAL;Urbana;5,58;0,97;5,66;5,89;5,77;1;0;0;316;1;0,503164557;0,348101266;4,84;9,5;7
26014564;INTEGRAL;Urbana;4,86;0,97;5,02;5;5,01;1;1;1;477;0,65;0,542976939;0,34591195;4,03;9,5;22,8
26540720;INTEGRAL;Urbana;5,88;1;5,41;6,4;5,9;1;0;0;176;1;0,505681818;0,369318182;4,25;9,5;6,3
26044862;INTEGRAL;Urbana;5,02;0,96;5,23;5,18;5,2;1;0;0;367;1;0,57493188;0,144414169;4,02;9,5;24,3
26086905;INTEGRAL;Urbana;5,95;0,99;5,77;6,22;5,99;1;0;0;463;1;0,507559395;0,272138229;4,32;9,5;17,3
26082179;INTEGRAL;Urbana;4,98;0,98;5,07;5,11;5,09;1;0;0;556;1;0,552158273;0,35971223;4,2;9,5;15,8
26001624;INTEGRAL;Urbana;4,42;0,93;4,48;4,99;4,73;1;1;0;417;0,28;0,589928058;0,199040767;4,05;6,3;12,9
26179474;INTEGRAL;Urbana;5,78;0,96;5,92;6,05;5,99;1;0;0;490;1;0,608163265;0,216326531;4,7;9,5;9,2
26000741;INTEGRAL;Urbana;4,85;0,96;5,14;4,98;5,06;1;1;0;569;0,56;0,553602812;0,065026362;3,93;7,1;21,9
26178699;INTEGRAL;Urbana;5,27;0,98;5,57;5,23;5,4;1;0;0;717;1;0,566248257;0,064156206;4,77;9,5;15,1
26024675;INTEGRAL;Urbana;4,68;0,96;4,91;4,82;4,87;1;0;0;433;1;0,501154734;0,154734411;4,56;9,5;20,8
26097710;INTEGRAL;Rural;6,16;0,91;6,11;7,41;6,76;1;0;0;160;0,75;0,5;0,20625;4,14;9,6;35,8
26097257;INTEGRAL;Rural;5,44;0,91;5,63;6,37;6;1;0;0;488;1;0,579918033;0,211065574;4,62;9,5;10,5
26039702;INTEGRAL;Urbana;5,52;0,89;5,56;6,79;6,17;1;0;0;246;1;0,524390244;0,085365854;4,43;9,5;16,7
26050048;INTEGRAL;Urbana;5,07;0,88;5,37;6,16;5,76;1;1;1;219;0,44;0,465753425;0,146118721;4,07;9,5;45,4
26179873;INTEGRAL;Rural;5,55;0,91;5,61;6,52;6,07;1;1;1;612;0,78;0,540849673;0,264705882;4,6;9,5;20,3
26051761;INTEGRAL;Urbana;4,81;0,91;5,11;5,43;5,27;1;0;0;341;0,65;0,53372434;0,425219941;4,63;9,5;22,4
26177013;INTEGRAL;Urbana;4,78;0,91;5,36;5,1;5,23;1;0;0;418;1;0,581339713;0,392344498;4,82;9,5;14,8
26072254;INTEGRAL;Urbana;5,09;0,98;5,03;5,39;5,21;1;0;0;511;1;0,545988258;0,201565558;4,25;9,5;25
26067137;INTEGRAL;Urbana;5,23;0,91;5,46;6,02;5,74;1;1;1;386;0,81;0,471502591;0,375647668;4,18;9,5;18,8
26083159;INTEGRAL;Urbana;5,48;0,95;5,4;6,11;5,75;1;1;1;589;0,81;0,546689304;0,395585739;4,21;9,5;7,9
26045745;INTEGRAL;Urbana;4,34;0,97;4,37;4,56;4,46;1;0;0;477;1;0,57442348;0,044025157;3,68;9,5;32,3
