"";"ano";"cod_municipio";"rd";"nm_municipio";"gre";"cod_escola";"nm_escola";"tp_escola";"p_em";"nota_lp";"nota_mt";"nota_saep";"idepe_2015";"tdi_3em";"TP_LOCALIZACAO";"IN_INTERNET";"IN_NOTURNO";"IN_EJA";"QT_MAT_BAS";"QT_MAT_BAS_FEM";"QT_MAT_BAS_MASC";"QT_MAT_BAS_BRANCA";"tratamento";"idepe_2014"
"1";2015;2601102;"Sertão do Araripe";"Araripina";"Sertão do Araripe";26000024;"ESCOLA DE REFERENCIA EM ENSINO MEDIO LUIZ GONZAGA DUARTE";"SEMI_INTEGRAL";1;5,03;4,83;4,93;4,93;10,8;"Urbana";1;1;1;662;390;272;76;1;3,26
"2";2015;2601102;"Sertão do Araripe";"Araripina";"Sertão do Araripe";26000261;"ESCOLA DA INDEPENDENCIA";"REGULAR";0,84;4,57;4,29;4,43;3,72;50;"Urbana";1;1;1;1230;642;588;90;0;3,87
"3";2015;2601102;"Sertão do Araripe";"Araripina";"Sertão do Araripe";26000636;"ESCOLA MANOEL RIBEIRO DAMASCENO";"REGULAR";0,85;4,46;4,27;4,37;3,7;23,3;"Urbana";1;1;0;649;328;321;76;0;4,2
"4";2015;2601102;"Sertão do Araripe";"Araripina";"Sertão do Araripe";26000741;"ESCOLA PADRE LUIZ GONZAGA";"REGULAR";0,79;4,6;4,16;4,38;3,47;47,4;"Urbana";1;1;1;1473;887;586;105;0;3,44
"5";2015;2601102;"Sertão do Araripe";"Araripina";"Sertão do Araripe";26000792;"ESCOLA PROFESSOR MANOEL BONIFACIO COSTA";"REGULAR";0,72;4,54;4,49;4,52;3,26;31,1;"Urbana";1;1;1;721;380;341;89;0;3,77
"6";2015;2601102;"Sertão do Araripe";"Araripina";"Sertão do Araripe";26001225;"ESCOLA SAO JOAO BATISTA - ARARIPINA";"REGULAR";0,91;4,37;4,06;4,22;3,83;3,8;"Urbana";1;1;1;416;231;185;26;1;3,21
"7";2015;2601102;"Sertão do Araripe";"Araripina";"Sertão do Araripe";26001594;"ESCOLA MOISES BOM DE OLIVEIRA";"REGULAR";0,88;4,15;4,29;4,22;3,71;39;"Urbana";0;1;0;565;300;265;68;0;3,72
"8";2015;2601102;"Sertão do Araripe";"Araripina";"Sertão do Araripe";26001624;"ESCOLA ANIZIO RODRIGUES COELHO";"REGULAR";0,91;3,97;4,38;4,17;3,78;25;"Urbana";1;1;1;777;410;367;150;0;4,25
"9";2015;2601102;"Sertão do Araripe";"Araripina";"Sertão do Araripe";26001896;"ESCOLA VITALINA MARIA DE JESUS";"REGULAR";0,84;4,33;4,1;4,22;3,53;62,2;"Urbana";1;1;0;362;203;159;84;0;3,44
"10";2015;2602001;"Sertão do Araripe";"Bodocó";"Sertão do Araripe";26001900;"ESCOLA JOAO CARLOS LOCIO DE ALMEIDA";"REGULAR";0,97;4,39;4,16;4,28;4,15;9,9;"Urbana";1;1;1;1281;677;604;97;0;4,77
