"";"CODIGO_UNIDADE_ORCAMENTARIA";"UNIDADE ORCAMENTARIA";"GRUPO DE DESPESA";"Ano";"Valor"
"1";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2000;38,05
"2";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2001;34,89
"3";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2002;28,69
"4";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2003;38,81
"5";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2004;186,05
"6";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2005;198
"7";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2006;293,28
"8";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2007;34,31
"9";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2008;38,58
"10";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2009;41,56
"11";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2010;45,54
"12";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2011;61,27
"13";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2012;60,37
"14";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2013;69,48
"15";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2014;80,2
"16";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2015;86,4
"17";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2016;86,5
"18";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2017;85,4
"19";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2018;87,62
"20";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2019;91,4
"21";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2020;88,75
"22";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2021;89,9
"23";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2022;90,7
"24";52101;"Administracao Direta do Ministerio da Defesa";"Pessoal e Encargos Sociais";2023;121,6
"25";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2000;29,59
"26";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2001;42
"27";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2002;234,39
"28";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2003;349,1
"29";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2004;335,69
"30";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2005;290,05
"31";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2006;240,8
"32";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2007;101,25
"33";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2008;0
"34";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2009;0
"35";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2010;0
"36";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2011;0
"37";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2012;0
"38";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2013;0
"39";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2014;0
"40";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2015;0
"41";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2016;0
"42";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2017;0
"43";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2018;0
"44";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2019;0
"45";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2020;0
"46";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2021;0
"47";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2022;0
"48";52101;"Administracao Direta do Ministerio da Defesa";"Juros e Encargos da Dívida";2023;0
"49";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2000;50,61
"50";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2001;59,77
"51";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2002;72,98
"52";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2003;54,82
"53";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2004;151,91
"54";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2005;221,59
"55";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2006;260,49
"56";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2007;249,13
"57";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2008;373,01
"58";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2009;408,16
"59";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2010;798,8
"60";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2011;725
"61";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2012;521,26
"62";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2013;658,46
"63";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2014;903,03
"64";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2015;760
"65";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2016;967,3
"66";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2017;531,8
"67";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2018;969,25
"68";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2019;877,73
"69";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2020;1451,19
"70";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2021;721,9
"71";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2022;731,55
"72";52101;"Administracao Direta do Ministerio da Defesa";"Outras Despesas Correntes";2023;187,11
"73";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2000;600,29
"74";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2001;383,71
"75";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2002;329,31
"76";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2003;124,94
"77";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2004;152,24
"78";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2005;296,37
"79";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2006;216,43
"80";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2007;366,48
"81";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2008;275,81
"82";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2009;455
"83";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2010;991,82
"84";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2011;438,49
"85";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2012;1287,11
"86";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2013;1180,63
"87";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2014;1390,05
"88";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2015;977,1
"89";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2016;1043,6
"90";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2017;819,1
"91";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2018;1030,1
"92";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2019;855
"93";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2020;1007,44
"94";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2021;1087,9
"95";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2022;1638,45
"96";52101;"Administracao Direta do Ministerio da Defesa";"Investimentos";2023;254,19
"97";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2000;0
"98";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2001;0
"99";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2002;0
"100";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2003;0
"101";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2004;0
"102";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2005;350
"103";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2006;0
"104";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2007;565,11
"105";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2008;78
"106";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2009;0
"107";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2010;0
"108";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2011;0
"109";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2012;0
"110";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2013;0
"111";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2014;94,2
"112";52101;"Administracao Direta do Ministerio da Defesa";"Inversões Financeiras";2015;296,3
