"";"mandante";"visitante";"time"
"1";"FLA";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"2";"COR";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"3";"CUI";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"4";"CHA";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"5";"ATH";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"6";"BAH";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"7";"CEA";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"8";"INT";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"9";"ATL";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"10";"SAO";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"11";"SAN";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"12";"ATL";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"13";"JUV";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"14";"RED";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"15";"SPO";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"16";"FOR";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"17";"GRE";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"18";"AME";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"19";"PAL";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"20";"FLU";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"21";"PAL";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"22";"FLA";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"23";"ATL";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"24";"SAN";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"25";"GRE";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"26";"FOR";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"27";"CUI";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"28";"CHA";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"29";"RED";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"30";"BAH";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"31";"SPO";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"32";"ATL";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"33";"JUV";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"34";"ATH";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"35";"CEA";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"36";"INT";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"37";"AME";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"38";"SAO";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"39";"COR";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"40";"FLU";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"41";"JUV";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"42";"CUI";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"43";"ATH";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"44";"BAH";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"45";"FOR";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"46";"INT";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"47";"ATL";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"48";"SAN";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"49";"PAL";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"50";"FLA";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"51";"ATL";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"52";"CHA";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"53";"RED";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"54";"BAH";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"55";"CEA";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"56";"GRE";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"57";"AME";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"58";"SAO";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
